id,score
1500,-1.4755958
1501,-1.5123247
1502,1.2595643
1503,-1.0992402
1504,-2.597064
1505,-2.2806091
1506,1.2616292
1507,-2.2079508
1508,-2.3657248
1509,-1.6316127
1510,-2.6158552
1511,-2.5010574
1512,-2.116264
1513,1.0552131
1514,-1.5042477
1515,-2.2206624
1516,-1.1625059
1517,1.7853686
1518,0.7141783
1519,-1.6783613
1520,-0.89896774
1521,-1.8854526
1522,-2.249166
1523,-2.8413455
1524,-1.9314747
1525,-1.5676783
1526,0.98171616
1527,-0.58126783
1528,-0.42502928
1529,-2.1217604
1530,-1.3935063
1531,-1.9599999
1532,-1.8858536
1533,-0.987182
1534,0.8215889
1535,-2.424256
1536,1.4036921
1537,-2.3756666
1538,1.4934797
1539,-0.45297217
1540,1.5096495
1541,-2.4783041
1542,1.4374475
1543,0.8513435
1544,-1.4740342
1545,-2.2648723
1546,-2.563023
1547,-1.8912852
1548,1.2246875
1549,-1.8767657
1550,1.3926798
1551,1.8155733
1552,-1.9140297
1553,1.5584118
1554,-2.5029762
1555,-1.6166798
1556,1.6183639
1557,-1.850524
1558,-1.3303221
1559,-0.025560737
1560,-0.194763
1561,-2.4141603
1562,-2.5409415
1563,-0.85114074
1564,-0.5172416
1565,-2.7206848
1566,-1.8828139
1567,-1.7649833
1568,-1.743637
1569,-2.3589008
1570,-1.6314508
1571,0.65084577
1572,-1.865992
1573,-1.4684732
1574,1.5032178
1575,0.57444227
1576,-1.7961584
1577,-1.8020729
1578,-1.1842216
1579,-0.57218385
1580,-0.602674
1581,-1.315196
1582,-1.454693
1583,-1.9201401
1584,2.1694436
1585,-1.2663008
1586,-1.8225963
1587,-1.7150106
1588,-2.0692413
1589,0.0036653131
1590,-1.7229317
1591,0.6538763
1592,-1.4905847
1593,0.89777815
1594,-1.7481209
1595,0.895787
1596,-2.5401785
1597,0.72641087
1598,1.0788292
1599,1.4010507
1600,-2.450211
1601,0.618049
1602,1.4581295
1603,-1.2418333
1604,-1.9043542
1605,-1.8876818
1606,-2.130441
1607,-2.2008598
1608,-1.5864394
1609,-1.5536634
1610,-0.59925
1611,1.1213737
